user_id,recommended_items
285,1981683 861652 635960 776519 1133694
902,2148901 1023152 1519543 2266435 1924934
948,2778525 1386412 2401766 855714 74727
1183,57460 2117630 1732848 1096406 1671183
1286,1981683 861652 635960 776519 1133694
1509,2778525 1251864 1244196 1036813 269512
1776,561884 461312 1697357 1058425 1700992
1982,1732529 1804721 181681 2474905 997790
2742,1606360 535530 1080406 1041132 2635038
3161,2030858 1928254 2002097 278589 2808334
3256,2586376 490987 1003954 1247854 426324
3375,109925 1515106 2622781 1359029 2039314
3547,1981683 861652 635960 776519 1133694
3630,2148901 1386412 670600 2256486 1895272
3806,2047542 1041709 2778525 1016436 2097556
4607,403728 1706622 1029608 2204165 1627958
5112,1244196 1443706 657183 1386412 1984327
5627,1273450 2391656 1168993 1673211 2026021
5686,1354703 79280 521907 2592859 799864
5738,1244196 657183 2778525 1053542 1386412
5839,2534190 2325510 1576126 1981683 635960
6442,1732529 1804721 181681 2474905 997790
7182,1014523 750033 436574 640407 1571702
7693,1981683 861652 635960 776519 1133694
8316,2047542 1732529 2778525 1804721 1717731
9660,1981683 861652 635960 776519 1133694
9680,2521154 2820720 2774804 161269 343377
10044,2148901 2256486 1895272 1653612 2770160
10316,1641047 133661 1443706 2335828 1550643
10469,291669 2546303 2086041 2235265 1261177
10470,2204165 536047 1203052 846274 2776638
10870,2002097 799575 2778525 1175568 2488684
10956,2778525 1244196 1251864 1036813 2791339
11027,465818 799322 516788 1921559 1711393
11380,1386412 2059944 2018853 2791339 1418011
11423,221757 2501411 1121061 673288 57417
11805,2353637 2484622 1876513 2031674 2778525
12046,2002097 278589 1809248 624264 2808334
12097,2250299 2043929 1194436 1602196 2501356
12233,57460 1732848 2117630 1096406 1671183
12593,2230175 1669539 973863 1051740 454405
12626,1732529 1804721 181681 2474905 2047542
12630,1981683 861652 635960 776519 1133694
12671,1443706 1244196 657183 1984327 266412
12689,1981683 861652 635960 776519 1133694
12750,1443706 1244196 657183 1984327 266412
12852,1981683 861652 635960 776519 1133694
13715,1981683 861652 635960 776519 1133694
