user_id,recommended_items
285,1801603 436140 241627 1728166 1216431
902,1984327 2371338 2625619 1796035 2142251
948,1233470 2371338 1053542 1053452 2778525
1183,1732848 1672211 1001391 1096406 1186918
1286,1180447 1035522 2446984 1600792 2160496
1509,882543 1073158 767198 2086041 1117449
1776,2343151 1702305 1598087 1757758 1277140
1982,1180447 1035522 2446984 1600792 2160496
2742,1180447 1035522 2446984 1600792 2160496
3161,1928254 472040 723096 2354697 460717
3256,1053452 1244196 1133414 1233470 784737
3375,1053542 1233470 2778525 1244196 1053452
3547,1180447 1035522 2446984 1600792 2160496
3630,2795800 1443706 2142251 1244196 738213
3806,1475454 710013 362966 397887 947818
4607,1180447 1035522 2446984 1600792 2160496
5112,1180447 1035522 2446984 1600792 2160496
5627,2063661 823592 374376 110711 2630439
5686,35932 2295790 183902 1528140 1907479
5738,1053542 1233470 2778525 1053452 1244196
5839,1244196 687732 1053452 2712481 1500071
6442,1274336 841284 677711 1728212 2424927
7182,333993 2704123 1183228 2014172 2340784
7693,1180447 1035522 2446984 1600792 2160496
8316,83465 1295792 194589 1889353 2476988
9660,627517 2246580 1386412 2244505 875907
9680,832264 1359029 2757405 1947318 2272823
10044,388367 2018488 1694302 907773 2277916
10316,536047 1386412 830073 784737 657183
10469,238658 181186 1770676 1410365 577753
10470,1602077 2234111 1987474 791323 315341
10870,1180447 1035522 2446984 1600792 2160496
10956,2635038 2526320 1228633 300053 1460321
11027,998587 413158 466173 46039 2700112
11380,2402625 964435 1324393 1150235 1788671
11423,1180447 1035522 2446984 1600792 2160496
11805,175200 1025827 1679136 2778162 2620279
12046,2081129 1635452 1285744 1583802 1432589
12097,2791339 2002097 1320309 1386412 657183
12233,1180447 1035522 2446984 1600792 2160496
12593,1728166 2830138 876326 49747 1216431
12626,650449 997790 112809 1422652 740066
12630,1794723 462518 84893 2236793 8555
12671,2404405 679564 312742 1984752 952102
12689,442356 1454707 2373355 1319279 1257327
12750,1984327 536047 2106311 784737 657183
12852,752443 1013774 2088572 1445649 2394849
13715,1180447 1035522 2446984 1600792 2160496
14269,2778525 79531 299236 823512 1053542
14624,1244196 1053452 1679143 1443706 657183
14792,79531 1953846 1244196 1240029 1053452
14966,190971 2112431 2314585 1189494 2285399
15006,335428 430533 1724738 723777 2226682
15100,373332 1029608 2497377 1940835 1214290
15549,2778525 536047 16356 1053542 823512
15611,749431 2530874 818888 387569 1788671
16228,1180447 1035522 2446984 1600792 2160496
16874,278589 1140869 460717 2831562 2106311
16971,445302 1515106 1822798 233862 1568168
18097,92714 2021391 1353323 2438615 1217676
18564,542469 1874971 1133414 1576126 667505
18796,318124 2003041 2822823 1014523 1458602
18994,2264926 486177 1834588 1993965 2704375
19544,747976 2634109 1170905 237395 832731
19679,2479643 2414830 1469774 153323 2096789
19704,484200 202573 709488 1187519 719940
20101,1604145 105999 2818126 1550605 1241563
20679,1796035 2371338 1793991 2466095 381318
20815,2750191 399435 972388 712901 1320669
20979,907232 161100 1029640 1221097 1449761
21195,2705759 2625619 906846 110711 73696
21324,335824 2648060 1779620 1643214 2622472
21578,1180447 1035522 2446984 1600792 2160496
21627,307099 1872942 2159078 2111288 2506133
21663,1654085 67174 721932 92686 2167880
21813,460717 2648928 794156 1013617 2070725
21835,1244196 1679143 1053452 2459081 1133414
22107,2770160 447985 2786146 2446758 83460
