user_id,recommended_items
285,1801603 561135 2239960 436140 841023
902,2371338 1018651 1584242 2082050 1984327
948,1233470 2371338 1262099 2083818 2603663
1183,1732848 1001391 1186918 2775160 1547543
1286,1848376 1147767 332664 2468545 1751372
1509,882543 2086041 2157491 2215624 1496888
1776,1027893 1464202 2343151 1757758 1277140
1982,1848376 1147767 332664 2468545 1751372
2742,1848376 1147767 332664 2468545 1751372
3161,1928254 2826814 339920 1262099 1716458
3256,1053452 717995 1262099 2083818 1716458
3375,1053542 1098848 2521064 2114506 2603663
3547,1848376 1147767 332664 2468545 1751372
3630,2795800 2294213 258239 2102097 98165
3806,710013 1475454 947818 362966 71390
4607,1848376 1147767 332664 2468545 1751372
5112,1848376 1147767 332664 2468545 1751372
5627,823592 2630439 44126 2063661 2468545
5686,35932 1528140 2295790 796246 640804
5738,1053542 1233470 2031981 2759803 496667
5839,1244196 2712481 687732 1500071 1780771
6442,677711 841284 2608328 457491 863266
7182,333993 1183228 199523 2704123 2014172
7693,1848376 1147767 332664 2468545 1751372
8316,1295792 194589 64543 2476988 2381373
9660,627517 2246580 2244505 1292612 2193685
9680,1359029 1088244 301180 1310205 2757405
10044,1848376 1147767 1526201 332664 388367
10316,536047 1262099 2083818 1716458 2114506
10469,238658 2527975 987162 577753 1410365
10470,791323 1987474 1720816 370728 2234111
10870,1848376 1147767 332664 2468545 1751372
10956,2526320 2635038 619556 644265 2219641
11027,1934991 959794 2550498 688457 1898849
11380,964435 2269134 604205 455014 1841480
11423,1848376 1147767 332664 2468545 1751372
11805,1025827 1679136 175200 2620279 2778162
12046,2081129 1285744 1635452 790953 21531
12097,2791339 1320309 2002097 295435 153202
12233,1848376 1147767 332664 2468545 1751372
12593,1728166 876326 151591 1903074 49747
12626,997790 650449 112809 590378 1450649
12630,1794723 462518 84893 578650 2742040
12671,952102 2404405 312742 420149 548893
12689,2147181 2261549 2725896 1454707 1282590
12750,1984327 2106311 2512859 1832067 89802
12852,1013774 509488 1445649 2319663 1340847
13715,1848376 1147767 332664 2468545 1751372
14269,2778525 79531 1795868 1937974 2720548
14624,1244196 1262099 16767 417248 215873
14792,79531 1662827 1953846 858933 2552254
14966,1848376 1751372 1147767 332664 1728212
15006,335428 334606 2226682 51452 576908
15100,1029608 1607836 268652 2295019 818215
15549,2778525 536047 728744 16356 2169564
15611,818888 387569 2530874 749431 1351845
16228,1848376 1147767 332664 2468545 1751372
16874,1140869 2800008 1649145 1113937 2831562
16971,1515106 1822798 445302 233862 1340642
18097,92714 1353323 1452909 1671183 2021391
18564,542469 1874971 667505 1953846 2490294
18796,318124 1449481 2822823 1584916 2003041
18994,486177 131881 2809308 2613883 357833
19544,2634109 1616921 1170905 864567 1985269
19679,1386412 445231 2414830 2479643 277022
19704,202573 788342 186124 1874092 484200
20101,1604145 1241563 2545048 2438844 1843375
20679,1796035 1793991 1202383 1888872 975171
20815,2750191 399435 2090194 2492071 1804340
20979,1221097 907232 2049896 161100 36045
21195,2705759 1590899 1117795 2625619 2574424
21324,1643214 335824 2648060 392985 2645314
21578,1848376 1147767 332664 2468545 1751372
21627,1872942 100805 2284421 2461381 2693538
21663,1751372 92686 1594683 2468545 1654085
21813,460717 2648928 1122814 2024094 1928955
21835,1244196 1679143 1560628 2796479 650831
22107,447985 2770160 743308 1256923 1200711
22206,2382358 361728 1272546 1364124 2466093
22591,2264926 1834588 2669918 1975675 898147
22728,1848376 1147767 332664 2468545 1751372
23229,1848376 1751372 1147767 332664 2468545
23361,1528519 1939980 1105432 2026339 161113
23459,1974596 2313955 1858164 1391091 2548962
23667,675327 410738 1872260 1167018 483395
23718,75845 1430243 2288793 266412 1149693
24419,1848376 1147767 332664 2468545 1751372
24465,1073158 784737 683349 654546 1398399
25906,318540 2468672 596958 1125573 2313894
26038,1330350 1172251 1334568 2546303 1895669
26658,614433 1140869 2396870 428698 1181812
27187,872103 50457 2588441 1861093 614700
27501,1590221 199255 692997 227537 845195
27638,1637644 144873 801366 289491 987368
