user_id,recommended_items
285,1981683 861652 635960 776519 1133694
902,1023152 1928254 1244196 1386412 1550865
948,2778525 1386412 278589 2802638 1928254
1183,1096406 2323808 194318 2778525 1732848
1286,1981683 861652 635960 776519 1133694
1509,2778525 1244196 278589 1251864 1247854
1776,561884 461312 1697357 1920047 1058425
1982,1732529 181681 85340 2834956 997790
2742,1606360 2778525 535530 2126902 1080406
3161,1928254 278589 2030858 2778525 2002097
3256,2586376 490987 1003954 426324 1247854
3375,109925 1047625 1515106 2039314 2420135
3547,1981683 861652 635960 776519 1133694
3630,1386412 2593483 2778525 670600 1438082
3806,2778525 1041709 2097556 743368 1053542
4607,403728 1706622 536047 871189 1627958
5112,1443706 1244196 657183 1386412 1984327
5627,1898849 1273450 2391656 2183922 2785206
5686,319530 987162 1354703 79280 1381522
5738,1244196 657183 2778525 1386412 1053542
5839,2534190 2325510 1576126 1981683 635960
6442,1732529 181681 85340 2834956 997790
7182,1014523 436574 984228 1624781 640407
7693,1981683 861652 635960 776519 1133694
8316,2778525 1732529 1386412 1717731 2047542
9660,1981683 861652 635960 776519 1133694
9680,161269 2521154 343377 2820720 580059
10044,2778525 278589 2770160 2148901 1996291
10316,1641047 2778525 1443706 1550643 830073
10469,291669 2086041 2235265 1430325 920520
10470,536047 871189 1203052 2204165 2776638
10870,2002097 2778525 507027 1386412 830073
10956,2778525 1244196 2791339 278589 2689330
11027,465818 799322 516788 2548274 2833871
11380,1386412 2791339 1984327 2342153 2636210
11423,221757 2501411 1121061 673288 57417
11805,2778525 2002097 2031674 2353637 2484622
12046,278589 2002097 2778525 79531 705651
12097,2043929 2250299 624264 2396028 2698468
12233,1732848 1096406 2323808 2778525 2117630
12593,2230175 1669539 973863 1051740 454405
12626,1732529 181681 85340 2834956 1717731
12630,1981683 861652 635960 776519 1133694
12671,1443706 657183 1244196 1984327 784737
12689,1981683 861652 635960 776519 1133694
12750,1443706 657183 1244196 1984327 1162250
12852,1981683 861652 635960 776519 1133694
13715,1981683 861652 635960 776519 1133694
14269,1981683 861652 635960 776519 1133694
14624,1386412 2791339 1324393 1984327 2636210
14792,1386412 2791339 1324393 1984327 2636210
14966,1981683 861652 635960 776519 1133694
15006,2002097 2778525 507027 1386412 79531
15100,1981683 861652 635960 776519 1133694
15549,82373 1793593 2711318 911450 734248
15611,15226 1174707 313851 2431623 2244505
16228,2778525 2262597 2543271 152305 2348573
16874,1981683 861652 635960 776519 1133694
16971,1732529 1576725 181681 2834956 85340
18097,1576725 636889 2077469 1926375 1401427
18564,1981683 861652 635960 776519 1133694
18796,1386412 1014523 436574 657183 1244196
18994,1981683 861652 635960 776519 1133694
19544,830073 166946 1267928 2436828 1398109
19679,1529678 1582687 1086695 285205 1267227
19704,1843150 2230175 1303869 931519 1001431
20101,579292 1810280 139979 858998 1018089
20679,278589 2477038 1477953 1606360 1514804
20815,291669 2086041 2235265 1430325 920520
20979,1014523 436574 984228 1624781 640407
21195,2705759 2128544 2462072 1052048 2461001
21324,1981683 861652 635960 776519 1133694
21578,1981683 861652 635960 776519 1133694
21627,1843150 2230175 1303869 856717 1226034
21663,1037951 1096406 1732848 2778525 2323808
21813,765284 848165 450674 524707 222374
21835,2439867 1679143 134458 1953846 984114
22107,1090310 2778525 1731527 1311154 1053542
22206,1732529 181681 2834956 85340 997790
22591,1981683 861652 635960 776519 1133694
22728,2778525 771844 1315172 113384 2310379
23229,1981683 861652 635960 776519 1133694
23361,1981683 861652 635960 776519 1133694
23459,1981683 861652 635960 776519 1133694
23667,829836 990877 380595 2277810 2649413
23718,1053542 536047 1244196 2002097 2380306
24419,1576725 636889 2077469 1926375 1401427
24465,70127 830073 2575631 166946 232919
25906,1295474 2409634 514469 466460 847774
26038,291669 2086041 2235265 920520 1430325
26658,941713 1943315 1185847 203016 1021568
27187,1981683 861652 635960 776519 1133694
27501,1014523 436574 984228 1624781 640407
27638,1675248 1272879 95698 1983719 568872
27707,1981683 861652 635960 776519 1133694
27727,2778525 278589 2002097 1244196 1053542
27845,830073 657183 1386412 213792 784737
27931,2043929 2250299 657183 1386412 2698468
28232,291669 2086041 1430325 920520 2235265
28739,1021993 1528899 583078 2348775 2593483
28801,1981683 861652 635960 776519 1133694
28972,1981683 861652 635960 776519 1133694
29072,1981683 861652 635960 776519 1133694
29146,636889 1241389 499178 1340660 2128544
29212,1806276 1776696 2479396 2766009 499178
29340,1981683 861652 635960 776519 1133694
29449,1086695 1244196 927275 478208 1053542
29519,1443706 657183 1244196 1162250 1984327
30094,1386412 1443706 1695664 1212118 1513499
30368,1981683 861652 635960 776519 1133694
30774,1335576 714105 2515078 1419528 739540
30910,2043929 2250299 2547597 624264 2396028
31318,1244196 1386412 2582611 2778525 1165605
32111,1994690 1984327 278589 2778525 1749358
32371,1981683 861652 635960 776519 1133694
32434,979758 373199 1163816 1750840 1317915
33119,1981683 861652 635960 776519 1133694
33317,794365 278589 2288244 430258 2353116
33492,1244196 657183 1443706 1550865 1984327
33552,1662460 2650926 2363688 2348573 2778525
33704,2031981 2778525 266412 853722 1386412
35125,1981683 861652 635960 776519 1133694
35517,2778525 2043929 1090310 2250299 1386412
35752,1093296 553479 849354 468250 84272
36049,1014523 436574 984228 1624781 640407
36125,636889 1983757 2324713 1538515 550854
36396,499178 1732529 636889 1241389 1056667
36940,2778525 1053542 823512 1519543 2079278
37187,1732529 181681 85340 2834956 997790
37351,278589 2477038 1477953 1514804 1834738
38059,1898849 1218572 2476293 2183922 1857507
38189,1576126 1090310 714060 117372 1695195
38365,2778525 1041709 2097556 743368 1053542
38481,973863 1669539 1051740 2230175 454405
38730,1244196 657183 902049 2752423 796373
38944,1014523 436574 984228 1624781 640407
39189,1981683 861652 635960 776519 1133694
39773,2778525 1386412 278589 2802638 1928254
39778,2778525 786549 841721 144129 460277
40141,1981683 861652 635960 776519 1133694
40180,1650900 743018 1570549 1079601 1498481
40246,1981683 861652 635960 776519 1133694
40468,1014523 436574 984228 1624781 640407
41309,1981683 861652 635960 776519 1133694
41345,1994690 1984327 278589 2778525 1749358
41383,1090310 1576126 1475454 1238430 2439867
41403,2076819 2183288 1576126 657183 1834691
41629,1908697 1971927 1575865 2002097 1177446
41649,460717 1985056 794156 2204165 134458
42051,1981683 861652 635960 776519 1133694
42321,1244196 657183 1443706 1984327 1162250
42617,2002097 2778525 507027 1386412 79531
42912,2079601 1550865 1780894 1389841 1204580
43088,983679 2002097 2791339 1174561 1386412
43399,154279 1576725 1784135 1680783 2270801
43444,2002097 2778525 507027 1386412 79531
44628,2002097 2778525 1244196 1386412 2424265
46074,1014523 436574 984228 1624781 640407
46106,1244196 2803681 1053542 1438082 2205815
46377,1662460 1835742 965827 1181698 657183
46391,1732529 181681 85340 2834956 997790
46874,278589 2778525 2002097 79531 2127017
47353,1981683 861652 635960 776519 1133694
47387,973863 1669539 1051740 2230175 454405
47475,1386412 657183 1244196 1162250 784737
47662,1981683 861652 635960 776519 1133694
48463,1981683 861652 635960 776519 1133694
48478,1443706 1244196 657183 1984327 1162250
48675,1732529 2409634 181681 1717731 85340
48789,1386412 2414623 1754395 2719617 2289895
49239,1669539 973863 1051740 2230175 454405
49334,2766686 2834355 818486 2684599 2297807
49418,1519543 205359 976588 818888 2360545
49794,1981683 861652 635960 776519 1133694
50754,1422861 2311048 2116913 1369788 751260
50874,1981683 861652 635960 776519 1133694
51289,1958413 42326 2140515 981752 608508
51380,1981683 861652 635960 776519 1133694
51416,1981683 861652 635960 776519 1133694
51445,2778525 1053542 1090310 1928254 278589
51851,278589 2002097 2778525 79531 705651
52067,2826101 536047 1198023 1436209 870075
52207,1898849 1218572 2476293 2183922 1857507
52730,657183 1443706 1244196 2593483 1386412
52831,1244196 657183 1443706 784737 1984327
53121,1732529 2258108 181681 2834956 85340
53574,2770160 385217 2802026 415358 1821018
53638,432120 172858 1395030 1843150 69520
53677,2356407 912679 196678 1291278 2786340
53760,2250299 2043929 624264 2396028 2698468
53874,1981683 861652 635960 776519 1133694
54382,1244196 657183 2752423 902049 796373
55261,1928254 2778525 723096 472040 1541359
55358,2766686 2834355 2684599 818486 2297807
55450,1981683 861652 635960 776519 1133694
55534,1981683 861652 635960 776519 1133694
56110,1981683 861652 635960 776519 1133694
56216,1679143 1244196 266412 657183 650831
56227,1174707 15226 2431623 2244505 2289895
56317,1335576 2515078 714105 1419528 739540
56439,540654 1345393 1349839 2454467 567617
57013,1386412 1695664 1443706 1212118 1513499
58197,1981683 861652 635960 776519 1133694
58250,1338318 2433934 2057931 2597486 701000
58548,1981683 861652 635960 776519 1133694
58600,507069 2337857 178401 200351 278589
58624,1041709 1072432 2778525 89560 1604573
58695,1981683 861652 635960 776519 1133694
58784,1251864 2778525 278589 2002097 952102
58798,1981683 861652 635960 776519 1133694
58833,1796526 1386412 1695664 1754395 16356
59104,1981683 861652 635960 776519 1133694
59135,1981683 861652 635960 776519 1133694
59546,1014523 436574 984228 1624781 278589
59782,1042196 1208539 1171945 2107695 2360931
59842,2002097 2778525 507027 1386412 79531
60155,2043929 2250299 2712481 657183 712901
60471,278589 2002097 2778525 79531 705651
60496,91986 660416 489665 1902122 891470
61016,1244196 657183 1053542 2752423 902049
61298,2778525 1386412 2030858 2295019 671237
61873,1732529 181681 2834956 85340 997790
62808,1104146 2778525 2085209 459760 387201
